id,LATITUDE,LONGITUDE,Y,X
B001,40.7290057869944,-73.95829449453755,4509196.649283295,587967.5995639258
B001,40.72855091088025,-73.95751733053079,4509146.933772782,588033.8283711044
B002,40.628712826818166,-73.93864354180964,4498083.383968349,589761.5086729696
B002,40.627602478700915,-73.93885916548511,4497959.909535687,589744.7590899477
B002,40.62859812486884,-73.93935685615236,4498069.923930862,589701.3343688749
B002,40.62970680434698,-73.93916338212604,4498193.1904637115,589716.2133259235
B007,40.59489655079711,-74.00241530360958,4494266.513520465,584410.6356589007
B007,40.595880669182364,-74.00341168875471,4494374.800059361,584325.0886457055
B007,40.596327913878085,-74.00240735455299,4494425.408590703,584409.5079331959
B007,40.595810184091604,-74.00092469332982,4494369.360950664,584535.6147859243
B007,40.594903453174666,-74.00143089901702,4494268.223989304,584493.9236791893
B007,40.59740684090591,-73.9990404446967,4494548.407733124,584693.0357756725
B007,40.59657658019885,-74.00009577914908,4494455.230480781,584604.787310276
B007,40.59675135548042,-74.00199759997845,4494472.805379232,584443.6462969962
B007,40.59747512455879,-74.00202571214007,4494553.119912855,584440.3568929681
B007,40.5981547302248,-74.00060908085375,4494629.918821073,584559.3660621285
B008,40.66393698097739,-73.91207410248543,4502020.914009492,591960.2245468867
B008,40.66516418911262,-73.91229911544079,4502156.906220773,591939.5188900384
B008,40.664516615837734,-73.91148647496192,4502085.871822465,592009.0998117774
B008,40.662897699032484,-73.91209255483068,4501905.528125605,591960.0923316253
B008,40.662087219756756,-73.91274440337192,4501814.878424035,591906.1035792138
B008,40.66184338263151,-73.91445002152862,4501786.029471883,591762.258624326
B008,40.66315262142109,-73.91480856034912,4501930.988707695,591730.1567053177
B008,40.663426424866955,-73.91311990562448,4501963.14580556,591872.5238928195
B008,40.66284731068814,-73.91404929784133,4501897.889843342,591794.7562030068
B008,40.662668521320676,-73.91328017637586,4501878.846467667,591860.0160803142
B010,40.670077389705014,-73.96490967865684,4502648.611360837,587486.0361570326
B010,40.66977307875608,-73.96334603798091,4502616.38839947,587618.5959281917
B010,40.66911862838942,-73.9622107319521,4502544.872763779,587715.411887627
B010,40.66777708233462,-73.96195273226809,4502396.210745368,587738.977194039
B010,40.66643553548793,-73.96169474296218,4502247.5487225745,587762.5424505454
B010,40.665093987850156,-73.9614367640338,4502098.88669548,587786.1076571033
B010,40.663798404678275,-73.96181075550821,4501954.696078467,587756.1932323246
B010,40.66411119473641,-73.96259454931904,4501988.635519997,587689.5297997751
B010,40.66528536895047,-73.96348489556073,4502118.087992038,587612.7329249631
B010,40.66645953611096,-73.96437527314858,4502247.540426771,587535.9360167598
B010,40.667633696217074,-73.96526568208404,4502376.992824211,587459.1390752507
B010,40.66880784926794,-73.96615612236862,4502506.445184351,587382.3421005171
B010,40.669981995262646,-73.96704659400375,4502635.89750719,587305.5450926444
B010,40.67080688528478,-73.96735150098385,4502727.162368445,587278.6981821525
B010,40.67073132249443,-73.96585978037136,4502720.256620179,587404.8780860621
B010,40.67203448505571,-73.9653681793976,4502865.404281643,587444.7259651225
B010,40.67141210006023,-73.96473757394936,4502796.943377977,587498.837849832
B012,40.67315431320785,-73.94287419191944,4503012.332135109,589344.40421595925
B012,40.67338376185233,-73.94448052569206,4503036.1708354745,589208.3345732662
B012,40.67478056332015,-73.94435811022755,4503191.3485212345,589216.8186953046
B012,40.67444558583093,-73.94293674483765,4503155.607657699,589337.3936287507
B012,40.67377556952253,-73.94195396196956,4503082.231115979,589421.3499356852
B016,40.70257180335182,-73.9247650527786,4506296.427207889,590834.9926452172
B016,40.70369510467883,-73.92439177383241,4506421.507245241,590865.0007607028
B016,40.703800400186715,-73.92298890521823,4506434.647797594,590983.3708054163
B016,40.70270710132409,-73.92334443025887,4506312.916102351,590954.8237750925
B017,40.69600625579289,-73.91110694375529,4505581.819661445,591997.8729651134
B017,40.69568717361622,-73.91239395092238,4505545.052572064,591889.5733982273
B017,40.6964651200236,-73.91268910433753,4505631.101147955,591863.5673330476
B018,40.628705646264024,-73.89125588914008,4498132.014076771,593769.2837368835
B018,40.62921159353219,-73.889675873283565,4498189.862242042,593902.2034454199
B018,40.629518678304166,-73.888915645387,4498224.762059023,593966.0680937417
B018,40.62852069456949,-73.88998999075832,4498112.833409839,593876.6050437412
B018,40.62768466210538,-73.89138590363015,4498018.540642244,593759.7159618372
B018,40.626848612619085,-73.89278178152998,4497924.247922483,593642.8269042876
B018,40.6260125461114,-73.89417762445844,4497829.955250478,593525.9378711261
B018,40.625176462583134,-73.89557343241611,4497735.662626156,593409.0488623909
B018,40.62401904656155,-73.89645703542297,4497606.245475714,593335.9263697851
B018,40.62347468220741,-73.89752011397267,4497544.690931099,593246.7682866052
B018,40.62415496846531,-73.89905474806551,4497618.581145255,593116.0229598045
B018,40.624835234188765,-73.90058941344152,4497692.471308085,592985.2776476879
B018,40.62572824380256,-73.90098664759194,4497791.180469357,592950.4417922485
B018,40.626872646889396,-73.90003982813568,4497919.216121023,593028.9336004037
B018,40.62776080768132,-73.89870534822964,4498019.21870293,593140.5650626858
B018,40.628636440049654,-73.89735190398643,4498117.852403013,593253.814841884
B018,40.629512056403314,-73.89599842422837,4498216.486152358,593367.0646416651
