id,LONGITUDE,LATITUDE
B223DK,584679.2598270583,4505582.424023722
B223DK,584800.7946628969,4505910.399331799
B223DK,584690.5802167361,4505583.307362332
B223F,584849.5779814782,4506071.401493392
B223G,584917.3367950182,4506074.67976451
B223IA,585370.0889382066,4506034.582262499
B223JB,585681.9722572399,4506049.592400072
B223NA,587658.3533178096,4505894.457917666
B223NA,587727.1314751022,4505848.189158348
B223QB,588096.4493907915,4507041.714211369
B223R,588278.4027196837,4507422.048135786
B223S,588530.4519414027,4507633.661083111
B224,590678.4181525777,4504628.53984002
B225,589336.0771443795,4503576.619061816
B225,589444.4944118208,4503674.053532077
B228,592318.6130309909,4502372.531825322
B230,585474.0067526232,4504237.7515846
B232,586745.2964341302,4503834.292426727
B234,590310.6269756305,4500227.612908316
B235,589619.7743042667,4494699.208253635
B236,591369.5295788824,4499040.953838777
B237,588287.5204861343,4503991.868148706
B239,589658.3526010051,4493671.695964324
B243,585927.3995060624,4505750.669577998
B244,586935.7086821967,4494976.4442473855
B244,587011.3629585045,4494890.433694489
B245,590123.0148353456,4503233.577115515
B245,590056.5557519041,4503065.663806194
B245,589924.1509624505,4503192.912125309
B246,594736.5943531052,4501518.446902687
B248,590968.7145297901,4498505.882871493
B249,592650.7362504742,4502125.078884553
B250,589091.1729367836,4499053.577098987
B250,588960.0819808879,4499161.730606387
B251,589778.4629156196,4492318.942791945
B251,589594.900431554,4492177.47313828
B251,589317.8775961464,4492146.617921277
B251,589132.8699713228,4492241.289172968
B251,589293.0931158903,4492404.063553395
B251,589608.1210373592,4492453.253559677
B252,587179.8486078957,4493422.208894173
B252,587126.8933610603,4493444.570890864
B253,586944.7262717212,4504847.951094647
B255C,585319.727201063,4501928.473771582
B255E,585478.7257144415,4501744.381727607
B255F,585583.1463248769,4501684.063630041
B255F,585559.0400657656,4501672.097983256
B255K,586570.12167273,4500592.974398603
B255K,586456.8879422847,4500776.129288635
B256,586351.1580228428,4504485.806062669
B257,589586.9091995389,4508090.824863051
B258,591036.7941183656,4503785.309313916
B259,587356.9608740001,4504742.963297803
B260,592223.844857723,4502893.4209739575
B260A,592193.7608286116,4502979.465222879
B261,594164.586819418,4502262.290043215
B262,589174.3767907068,4503961.950136903
B263,589299.830177161,4505647.349849177
B264,587645.0849351631,4506650.259506903
B266,588012.9674207115,4505065.8777271
B267,588341.1449033734,4501117.072540975
B268,584916.4641380452,4491702.528139255
B269,590267.4654722697,4505016.027285509
B269,590168.5614385471,4505065.13368107
B270,592741.5935697844,4501241.6424268475
B270,592845.3999702749,4501199.677699624
B271,591726.0548998179,4500451.374998112
B272,586244.8769428385,4493926.31334073
B274,594065.899607354,4498808.024342459
B275,587562.3261510179,4492972.994680705
B275,587657.4163290777,4493004.673062263
B277,584405.0767070857,4495140.2611692725
B279,593411.6406679215,4499755.743601346
B280,585003.0488863699,4493834.013689312
B282,583338.575164754,4496962.471478335
B283,596111.5378181733,4503427.556246629
B284,588813.3758477373,4501914.360270883
B285,591064.1321734766,4499814.808862428
B286,588997.6090895041,4506094.031907895
B287,589085.1675966921,4497464.440798733
B288,585416.0565071322,4501671.257581842
B291,590757.6129757898,4496999.325505154
B292,587672.5045588275,4505186.978685
B293,587848.2132986865,4504852.724727657
B294,590623.1961295923,4503845.849344973
B295,586470.4111561945,4505734.328797395
B296,586388.9813195176,4492210.487383947
B297,586203.0740875808,4499970.821709474
B298,588805.0226337034,4505654.969458246
B300,586863.6836033483,4505306.728558431
B301,587347.6992033639,4504447.286161141
B302,588996.4094760269,4505911.671355933
B304,591094.4304369477,4501426.930447277
B305,593599.3392622857,4499817.02009037
B306,589828.5353879007,4493921.126095471
B307,592009.8419924553,4504759.428194113
B309,596157.404746651,4502398.507863012
B310,589575.4041656882,4506145.225603346
B311,589599.1505055084,4506997.703023957
B312,595822.073725113,4502237.217831852
B313,590423.5388367103,4504082.02411621
B315,585257.100425759,4491899.73592042
B316,586497.0664992174,4498432.418295387
B317,588088.7566035574,4504880.411161233
B320,586365.3757531642,4503382.510844206
B321,586878.0286179242,4504764.942939377
B322,589424.2710492408,4505316.509897516
B323,589073.101780129,4504427.094149878
B324,591371.3583776862,4497659.80015163
B324,591421.5727111865,4497798.919420334
B325,591649.5507916334,4503595.933418178
B326,584798.4055778536,4504659.16072951
B329,591996.2850821248,4496214.628851967
B329,592121.6105854941,4496319.407427159
B330,592019.8214734558,4497187.756018283
B330,591884.2379837311,4497172.100497152
B331,586323.8990709722,4492485.094474812
B332,592006.6160696746,4504486.423894155
B334,590494.4934327318,4506039.170434042
B335,592027.6751922155,4498857.354883773
B336,585960.4487437514,4491885.057672276
B336,585783.240313819,4491966.358660068
B336A,585676.7287437085,4492004.207301798
B339,592370.651064692,4501649.759083279
B340,589648.6674289992,4506117.836458145
B342,593130.807902136,4500078.187402756
B343,592474.143646844,4501042.3898034375
B343,592482.962202718,4501191.398135559
B345,594105.2751588746,4501172.938588393
B346,588828.6672442695,4508193.640185766
B347,591248.5420238255,4503864.676595755
B348,588976.3294988577,4505347.040067713
B349,585113.865334521,4494241.758963958
B349,585205.6884601713,4494252.274315517
B350,587692.6675023012,4503232.381688633
B351,588839.2576375778,4505042.173782125
B352,591539.6341179952,4499503.054255495
B353,592184.9904412779,4497405.998441639
B357,587948.635688327,4502211.761870259
B358,588753.6534650923,4506319.580340801
B359,589909.6107599121,4505165.69296363
B360,592402.9161976387,4499676.2971442705
B361,585292.5178639945,4504220.901453521
B362,591943.5079330903,4502544.35049116
B363,592564.4746291675,4502982.209746904
B364,590480.1046478176,4503202.258215822
B367,592835.009042191,4502070.499229639
B368,586525.3926684775,4492105.998828619
B369,586078.7680509934,4491961.266197139
B369,585949.9183011285,4491844.421599236
B369,585912.9101358542,4492082.149943948
B372,586867.8610249687,4496839.488970459
B372,586873.3621812009,4497012.958517341
B376,591288.5007555971,4499901.248674128
B377,592641.7955790209,4501768.277259598
B378,586049.3389499816,4504917.933998742
B379,584564.128692919,4492759.60760009
B379,584284.341079165,4492719.703613158
B379,584079.8972645521,4492783.708867445
B379,584306.5547737402,4492793.61572043
B380,595866.6459303213,4503172.20788801
B380,595916.699969954,4503226.715865098
B380,595916.699969954,4503226.715865098
B382A,587163.4088542426,4506692.57720243
B382B,587278.4485642281,4506563.100860092
B383,593175.582274487,4502082.215149471
B385,587786.9834121006,4509332.4920758605
B387,591719.0791185722,4503306.819086267
B393,589336.9032758808,4493062.13038658
B393,589350.6726755651,4493041.1010335
B393,589257.1157671426,4493061.712970932
B393,589111.0911152966,4493026.25139118
B394,592107.3112604864,4494911.08173933
B394,592196.8136381018,4495112.480280259
B394,592343.5004392582,4494950.625463115
B394,592423.6513428448,4494850.196511676
B394,592405.4023721141,4494930.9401871925
B394,592399.8555956248,4495166.423976605
B394,592692.7814598489,4495212.534127026
B394,592966.6597347067,4495300.361391388
B394,593084.3947590232,4495227.425355767
B394,592893.0427670407,4495002.4100139
B394,592636.8146541021,4494848.017196525
B394,592357.6116252152,4494779.488795099
B395,590127.4521217406,4506153.903594481
B396,592487.5022258855,4501849.346008848
B397,592483.3961305608,4502591.2974848375
B400,588866.8036939742,4504895.784476476
B401,587265.9185986628,4507788.877839777
B402,593338.2695513982,4503679.634747055
B403,590106.6198982339,4503535.71392677
B403,589986.2028255311,4503569.8439068105
B407,586846.8257225789,4504198.993283454
B412,591737.5447379638,4505734.086477574
B418,582988.8547058831,4503488.193347921
B418,582954.2755885195,4503526.8769218195
B419,593979.2710402152,4502901.113728738
B429,591487.4909794877,4505794.604087769
B433,590282.0459408993,4496011.057956658
B434,586713.8980562979,4494215.464217994
B515,594066.5425880712,4502241.951761959
B517,591900.7113331051,4503638.106643997
"B527
B527",593329.9219208397,4501727.60612428
B536,587403.3336271255,4508156.8146051215
BS04,589032.606271563,4503651.262248247
BS09,586308.300634882,4502807.138435608
BS09,586279.8653348521,4502862.935634839
BS09,586279.8653348521,4502862.935634839
BS13,590679.5050507892,4503797.768716986
BS16,593080.9627876063,4502538.455406788
BS18,590544.821786826,4501446.768807095
BS19,590365.6084007078,4499687.518359403
BS20,591214.2772899753,4500242.232819649
BS23,584439.7767882878,4499363.071458117
BS23,584425.1936030012,4499418.145308528
BS23,584425.1936030012,4499418.145308528
BS23,584446.8978788666,4499421.409111096
BS23,584446.8978788666,4499421.409111096
BS23,584415.2963591247,4499379.717638036
BS23,584415.2963591247,4499379.717638036
BS24,582976.5987791768,4499382.649424575
BS26,585803.9743421322,4494922.352965005
BS26,585829.099714247,4494937.270353698
BS26,585827.8458388707,4495005.295931483
BS26,585827.8458388707,4495005.295931483
BS27,584532.3976244598,4496974.897784207
BS28,590849.2903446157,4497347.203282772
BS29,585749.163327811,4496426.670878221
BS30,587090.529846537,4495202.8642207375
BS31,586472.4778522245,4496570.486411418
BS32,589977.6695305052,4503271.510687899
BS34,591408.431574099,4504935.667670256
BS35,592349.4579163834,4500427.668643223
BS37,586443.6919268293,4497295.364738348
BS39,585102.176601896,4496007.789757103
BS40,590452.7298102453,4502969.541778997
BS42,584858.7971147544,4497320.614888321
BS43,588530.814389903,4498533.772682016
BS45,587375.8537803002,4498538.31674341
BS46,585523.9289031009,4497740.742793643
BS48,587436.2286814174,4497209.337133867
BS48,587484.0665356489,4497232.661838648
BS49,590855.2708702255,4500166.877115619
BS50,592049.8759077151,4496576.48519927
BS52,587889.4266030099,4493390.727553989
BS53,587609.4155005666,4495814.673979066
BS54,588691.0614444718,4493874.889051341
BS55,588727.5628540182,4496255.092602561
BS56,587695.3724914155,4496636.431438663
BS56,587709.1898537958,4496685.877386359
BS59,592576.0871011933,4504999.866996937
BS61,588832.6914331384,4502142.877270906
BS62,585119.027033755,4499337.526431796
BS63,588768.0389965494,4497312.541246278
BT06,585519.7896017393,4492945.133405889
BZ358,581551.6127677946,4499256.856555211
BZ358,581588.0171432305,4499244.5944090765
M003,588367.8129512069,4519163.401204945
M007,583338.9818169418,4506542.397554915
M008,585893.9274955161,4511946.287468681
M008,585936.312122069,4511767.032607682
M008,585695.5720056596,4511897.408494935
M009,589490.5308670577,4523031.0095975315
M011,584262.4299839638,4511545.711636638
M013,584088.798058898,4507394.806605187
M013,583896.1426683518,4507264.561340708
M013,583897.115306595,4507400.340378744
M014,589458.9573860553,4520326.399228689
M014,589340.3841519211,4520071.778825127
M014,589204.1590005566,4519824.684417278
M014,589109.4100407563,4519791.797109751
M014,589232.943785461,4520045.474693518
M014,589356.4774263473,4520299.152418094
M015,584438.6797833673,4507593.56158672
M015,584504.6981221889,4507629.3133370895
M017,586137.7448957588,4507305.652857503
M017,586255.4588542726,4507243.7295416305
M018,589017.0249730346,4520366.431338922
M019,585018.231344557,4507227.521176107
M022,584783.4248302417,4513489.416199977
M022,584976.579847384,4513537.781328329
M026,590783.4713618931,4524631.786381202
M030,584201.3074593509,4507534.2181142345
M031,589950.7641444171,4523331.153081917
M033,585996.9733450321,4508116.241439379
M033,586154.3856916347,4508186.998872609
M035,589738.1855496555,4520150.489764042
M038,583871.4865697562,4509212.944315925
M041,588437.3926162163,4519677.669085151
M045,588673.7770941723,4513602.485678167
M045,588644.1268724378,4513732.176500166
M046,583650.4839081848,4506179.031317346
M047,589946.3655405707,4516320.487875756
M047,589683.2286023282,4516276.216551856
M047,589784.1605603741,4516473.264033763
M048,586329.2519642354,4516421.134945836
M048,586365.0211328538,4516411.370435352
M052,585379.3906838655,4510614.866874672
M052,585525.5074790728,4510649.2833391065
M053,586718.2721565316,4515013.8631822895
M053,586503.1250534218,4514862.198896732
M053,586500.7127406093,4515122.263122366
M054,589377.9954346883,4521614.75645993
M056,587771.6618268099,4517259.27415489
M056,587690.2154970755,4517425.604395325
M056,587767.7700595711,4517709.993542337
M056,587905.5781797098,4517971.725705183
M056,587984.2880238421,4518256.48133577
M056,588059.4649908661,4518078.373573356
M056,587920.104350203,4517817.464633255
M056,587849.4317235828,4517537.368462103
M058,589022.7124515689,4517467.153379903
M058,588991.1048206931,4517662.208195636
M058,589180.4062701556,4517713.629029371
M058,589211.1074563352,4517519.010836488
M059,586643.8371358432,4509359.008844982
M062,586628.4454302251,4513115.247065278
M063,585350.4080902578,4513824.631805135
M064,585806.9319886133,4507268.602089341
M065,585946.4827347364,4507759.942621897
M066,584257.2051084766,4510590.457144162
M069,584205.4208024492,4508744.935200969
M070,587755.6285006301,4512594.456808486
M073,589496.6487897773,4520986.261540078
M077,588452.2674947414,4518587.004990908
M077,588586.9052156673,4518842.057605296
M077,588617.9777811567,4519110.850012501
M077,588758.7717066316,4519356.240267654
M077,588846.4188044798,4519412.193853372
M077,588754.0021117117,4519138.97454157
M077,588661.5852788872,4518865.755345783
M077,588536.8275913106,4518607.434808989
M079,587857.457274665,4513261.708678866
M081,589271.2192540695,4514443.4552655835
M081,589131.4886813241,4514187.5201189965
M081,589019.2415643805,4514227.560556264
M081,589158.9034782853,4514486.675122803
M082,585306.5616473346,4507563.651784085
M087,587545.1377778271,4518595.852725567
M088,585912.2097039,4508817.044854444
M088,585957.8308026353,4509026.135660669
M088,586096.9662373401,4508871.313361788
M089,585227.262420386,4509824.524924372
M089,585249.1091761367,4510055.371929832
M091,589369.7142564675,4523216.9065062655
M091,589521.0963494924,4523467.386990415
M091,589701.9931656776,4523634.676054261
M091,589544.2846758479,4523432.8767774645
M092A,589114.134894866,4522449.263576836
M092A,589138.5415512245,4522447.242287839
M093,585642.5663296662,4512488.016995446
M098,584612.1784817345,4509306.867055884
M098,584561.122262573,4509502.569613012
M098,584802.9563225091,4509350.187570589
M099,589156.2933383633,4522226.421510467
M099,589352.0087511074,4522309.297698028
M107,590364.989227462,4515041.259659551
M107,590087.4247181886,4515165.941323893
M107,589816.8359366981,4515278.697587542
M107,589830.4472661167,4515564.632949328
M107,589991.0233877724,4515830.619079262
M107,590191.5980921534,4516061.944925736
M107,590459.4230934554,4516087.467062265
M107,590480.403290577,4516067.103877728
M107,590202.006872765,4516041.916904268
M107,590026.4491766283,4515792.1013079975
M107,589919.066038012,4515533.921637137
M107,590071.8991889289,4515331.742933421
M107,590279.3412161581,4515343.012704027
M107,590338.1496420304,4515300.023731649
M107,590336.178738303,4515545.062494429
M107,590566.6034855588,4515406.550807953
M107,590515.1137726855,4515626.167847299
M107,590513.4975129353,4515855.133787799
M107,590694.5589082338,4516057.583700934
M107,590649.8829112955,4515796.225154219
M107,590689.9367838609,4515494.043209797
M107,590836.6891000968,4515246.142802604
M107,590586.8398364867,4515061.456629461
M107,590389.036941336,4515118.848896134
M107,590389.036941336,4515118.848896134
M108A,590179.7002020543,4517158.893417674
M108B,590329.9057873166,4516963.549974141
M108B,590276.940748058,4517154.893846046
M108G,589484.9242372022,4515600.018405902
M108N,587484.6248729326,4511917.7926814305
M108Q,587890.6819171453,4512605.713119073
M108Q1,587910.5141705971,4512475.615357842
M108Q1,588063.373975243,4512662.747431409
M108T01,590303.6383594436,4516605.094801319
M108T01,590104.4704054691,4516384.261093607
M108T01,589872.2866048139,4516190.287797904
M108T01,589708.3080455791,4515945.480159575
M108T01,589586.9967293018,4515668.503851058
M108T01,589409.4911702352,4515425.698698771
M108T01,589179.26994594,4515229.400876964
M108T01,589132.3621815318,4514950.076014744
M108T01,589220.1577264325,4514660.547909125
M108T01,589197.5299193314,4514669.172844939
M108T01,589114.5712994471,4514960.123770783
M108T01,589180.1260149857,4515240.143214352
M108T01,589401.7656470805,4515446.081359377
M108T01,589565.6881590058,4515695.7412819825
M108T01,589703.9154571239,4515964.8658148255
M108T01,589873.0971453126,4516209.628210682
M108T01,590102.2007486473,4516407.230072975
M108T01,590295.5760568219,4516628.908176555
M108T01,590329.2310440161,4516922.601212268
M108T01,590308.6199989447,4517191.742186104
M108T01,590347.1937538136,4516900.184861948
M111,589260.6863126365,4516760.673985153
M120A,584264.3727873537,4509068.8552148845
M124,585374.4242488398,4508539.545101753
M132,585502.6423457324,4507360.071303427
M141,589803.8193195466,4519971.535267295
M141,589829.8194490435,4519975.710368515
M144,585974.2888799984,4507122.380382209
M144,586025.1552131403,4507140.47097516
M144,586287.8121683804,4507247.891863571
M144,586423.4597865061,4507502.427598047
M144,586528.6515511186,4507778.264688773
M144,586597.679812876,4508062.797111857
M144,586629.382270766,4508356.304264977
M144,586718.1963982071,4508633.75334794
M144,586801.9969552034,4508761.271782168
M144,586759.1622486766,4508469.181437531
M144,586716.3273728434,4508177.091175295
M144,586646.4722058579,4507891.011490123
M144,586561.446870035,4507608.306423603
M144,586466.033765934,4507330.687078937
M144,586269.079440651,4507137.793683598
M144,586662.2255106489,4508179.085041374
M148,588905.3033127171,4516162.150866027
M155,589369.8597783569,4518191.285877577
M158,587011.4025290355,4511323.581875677
M159,589706.2158593793,4519894.739936283
M160,589432.2603373731,4519000.983515429
M164,586510.140762452,4510063.499630847
M165,586410.3066717768,4507956.357085648
M182,585993.918525742,4507234.0110388985
M183,588804.8778471961,4516547.875593607
M184,585459.440109605,4514124.894233962
M186,589715.7999727535,4519187.516842709
M186,589844.0412729753,4519275.612225914
M187,588888.8712424646,4515393.95422051
M190,588058.7925622291,4518694.462281136
M193,589608.3337874948,4518489.8651481625
M198,588540.5070848706,4517163.527221293
M199,590897.7078499784,4524067.404474277
M200,587382.0225429178,4517178.096758847
M200A,587466.3107418752,4517233.57477743
M201,586403.1289095171,4508174.253097029
M203C,587133.6628613531,4511723.144215016
M203C,586955.3102153953,4511820.30662518
M204,589521.5780748925,4518177.395177064
M205,588100.3786224046,4518240.681230396
M206,584950.4302092606,4507098.891314309
M208A,589826.3203097209,4517772.456210823
M208D,590022.3986445949,4517739.319775592
M208D,589875.9002959382,4517869.504350017
M208E,590066.9791499327,4517582.160675739
M209,589619.6492085983,4514922.545033932
M209,589533.8653916093,4514913.573462027
M211A,588755.3491057197,4518259.088692138
M211B,588807.0296742355,4518439.519401592
M213,588589.3526418081,4516222.035206878
M215,588812.9887399945,4515713.972389767
M216,589776.4066294075,4520298.356952274
M216,589667.3151099327,4520403.052466894
M217,589455.3782740317,4518614.229910349
M219,586211.1719735005,4515004.732236946
M220,587050.7860385595,4516723.267741984
