geoid,LATITUDE,LONGITUDE,Y,X
36081048100,40.74226299999984,-73.884894,4510744.431492871,594147.3801234689
36081048200,40.71488899999983,-73.767992,4507837.658305612,604060.1666187425
36081048300,40.74179599999986,-73.891972,4510685.02323161,593550.4342176847
36081048400,40.71579999999983,-73.759953,4507948.343064476,604737.7597377391
36081048500,40.739752999999844,-73.883622,4510467.167401886,594258.319562028
36081048900,40.73614499999984,-73.891958,4510057.734392821,593559.534379417
36081049200,40.722804999999845,-73.758158,4508728.096479266,604878.3773455155
36081049301,40.732391999999834,-73.89423399999998,4509638.700192265,593372.59995882
36081049302,40.72776199999983,-73.892488,4509126.594360538,593526.5209020966
36081049500,40.72521599999981,-73.890197,4508846.412565669,593723.5657526574
36081049600,40.71688299999985,-73.753136,4508076.717330919,605311.8490010765
36081049700,40.73206199999984,-73.890361,4509606.1940761665,593700.1112395587
36081049900,40.73156999999984,-73.882737,4509559.743249985,594344.6041399393
36081050000,40.71189199999982,-73.765966,4507507.370385621,604235.9690110765
36081050201,40.70893599999984,-73.764937,4507180.453100369,604327.50247844
36081050202,40.710246999999846,-73.759171,4507332.849240387,604812.5201299594
36081050400,40.705463999999836,-73.764097,4506796.03231263,604403.883114658
36081050500,40.72890499999984,-73.874591,4509272.693917603,595036.2789556722
36081050600,40.70595199999984,-73.759564,4506855.60187056,604786.0559265612
36081050700,40.72692199999984,-73.880919,4509045.735852323,594504.7000703552
36081050800,40.70708799999985,-73.755733,4506986.28399416,605107.901706653
36081051000,40.70983199999983,-73.753791,4507293.21519515,605267.6318664165
36081051100,40.72754499999984,-73.899121,4509095.461445179,592966.6728288198
36081051200,40.70963699999984,-73.749955,4507276.173323704,605591.975731112
36081051300,40.73173499999983,-73.897523,4509562.275515794,593095.7823459819
36081051500,40.73118499999985,-73.90098,4509497.561469633,592804.6238979459
36081051600,40.70275999999984,-73.74745199999998,4506515.784655599,605814.2964190216
36081051700,40.72425699999983,-73.900851,4508728.639208854,592825.1445514057
36081051800,40.70179499999983,-73.75195999999998,4506403.241679403,605434.9767944557
36081052000,40.70077099999984,-73.754567,4506286.444025242,605216.3425576122
36081052100,40.72105999999983,-73.90121299999998,4508373.366532335,592799.0131195934
36081052200,40.70009699999983,-73.75714,4506208.546279868,605000.0243925065
36081052400,40.70110899999983,-73.761826,4506315.295617452,604602.5462840466
36081052500,40.71900899999983,-73.905796,4508140.857814206,592414.7815867474
36081052600,40.69723799999983,-73.75980499999999,4505887.9935807,604779.3532360446
36081052800,40.69405699999984,-73.758685,4505536.214909772,604878.9690776843
36081053000,40.69632299999984,-73.752583,4505795.060158721,605390.9692732601
36081053100,40.72294299999982,-73.907387,4508575.886853688,592274.9722166684
36081053200,40.70047499999984,-73.749254,4506259.962871058,605665.6726308913
36081053401,40.700343999999845,-73.743663,4506252.160981612,606138.2315785632
36081053500,40.71504999999983,-73.912576,4507694.26810167,591847.5844499033
36081053601,40.70666599999983,-73.74585,4506951.312165016,605943.4447636481
36081053800,40.706319999999856,-73.74259,4506916.840625523,606219.3874956142
36081053900,40.709009999999836,-73.916346,4507019.850393158,591537.4237888375
36081054000,40.71254799999981,-73.742915,4507607.804979811,606182.0376461437
36081054200,40.71906499999984,-73.746306,4508327.149963982,605885.2761114916
36081054500,40.70547699999984,-73.912676,4506631.494307074,591852.2929407489
36081054700,40.70345299999984,-73.909938,4506409.683107953,592086.3792263477
36081054800,40.72333899999985,-73.751015,4508795.931083574,605480.802623096
36081054900,40.70243399999984,-73.907433,4506299.196126062,592299.4076074664
36081055100,40.70174099999986,-73.904252,4506225.615495714,592569.101070259
36081055200,40.72722699999982,-73.749692,4509229.120991764,605586.3910704029
36081055300,40.69879699999984,-73.906895,4505896.0299100345,592349.8818296321
36081055400,40.727910999999814,-73.740237,4509316.464158829,606383.7796664125
36081055500,40.69748799999983,-73.902615,4505755.229939717,592713.2950362924
36081055600,40.72556199999984,-73.745119,4509049.801821677,605975.2240427522
36081055700,40.69893699999982,-73.899553,4505919.314552775,592969.9802213326
36081055800,40.72249299999984,-73.741737,4508713.205182966,606265.7242439897
36081055900,40.69521099999982,-73.901845,4505503.280498757,592781.50948002294
36081056000,40.72544599999985,-73.73679599999998,4509047.0038934015,606678.307232926
36081056100,40.69741899999985,-73.879341,4505772.391820737,594679.7496226752
36081056200,40.72470499999984,-73.733268,4508969.039234294,606977.4428778983
36081056400,40.72148299999984,-73.733473,4508611.120966052,606965.28882928635
36081056500,40.69430699999984,-73.896764,4505408.308469921,593212.063814163
36081056600,40.71968999999982,-73.738287,4508406.230270372,606561.5694867355
36081056700,40.69716399999985,-73.892373,4505730.122474483,593579.06686822325
36081056800,40.715487999999844,-73.73384599999999,4507945.172834729,606943.3813426404
36081057700,40.70032499999985,-73.89064,4506082.862387964,593721.0532389686
36081057900,40.70343599999983,-73.889829,4506429.070334469,593785.2053455652
36081058000,40.707377999999835,-73.7314,4507047.879232856,607162.9869255403
36081058100,40.704054999999826,-73.893985,4506493.354871214,593433.2423579112
36081058200,40.70697299999984,-73.73761,4506995.362984348,606639.0402156744
36081058300,40.70194299999986,-73.897521,4506255.153389849,593137.4670564992
36081058500,40.70434199999983,-73.899523,4506519.33821979,592964.9988126804
36081058700,40.70699999999983,-73.900117,4506813.766103319,592911.1241241398
36081058900,40.706465999999836,-73.905363,4506748.9527206,592468.7059016955
36081059000,40.70145999999982,-73.737282,4506383.774923888,606675.5455847522
36081059100,40.70803699999983,-73.90983799999998,4506918.643336614,592088.5121053352
36081059200,40.701505999999824,-73.730149,4506397.567835344,607278.0889020227
36081059300,40.709936999999826,-73.902669,4507137.097248401,592691.4704293245
36081059400,40.69850699999982,-73.731318,4506063.228419244,607184.1361262999
36081059500,40.71336199999986,-73.908283,4507511.38677124,592212.5218390557
36081059600,40.69689299999983,-73.737063,4505877.068412334,606701.3355522634
36081059800,40.69834699999983,-73.740876,4506033.8495555315,606376.8667483319
36081059900,40.717264999999834,-73.901922,4507951.345416571,592744.4003510899
36081060000,40.69511399999983,-73.733462,4505683.965476266,607008.4264536988
36081060100,40.715347999999835,-73.90207099999999,4507738.387483853,592734.4758044033
36081060300,40.714152999999826,-73.898163,4507609.867878665,593066.2279166754
36081060600,40.69177799999984,-73.735341,4505311.356948544,606854.9982146502
36081060701,40.71742799999982,-73.894307,4507977.509433181,593387.35254148
